,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
0,TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,14910.0,7,49.3137,119.4462,491.438,1165.1468,4577.153,53559.0468,,3402.96,6.4795,23.2366,0.0,2.0,4651.89,0.0
1,ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,12930.0,6,3.2468,8.3334,50.1332,66.7425,240.0395,582.5122,,154.67,3.8664,10.6828,0.1,0.1,242.51,0.0
2,ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,15960.0,6,3.5983,6.5784,45.1031,62.2819,230.3955,561.8631,,147.45,3.7332,10.5744,0.1,0.1,232.55,0.0
3,IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,3660.0,6,15.3333,22.8131,75.0319,93.7093,139.1095,,,79.08,2.6687,26.7621,3.150315,3.150315,136.2,
4,DDF,DENİZ PORTFÖY DİNAMO SERBEST FON,Serbest Şemsiye Fonu,660.35,5,0.5901,10.7417,64.4218,61.2514,121.2601,389.0837,567.109,65.71,2.3252,14.2389,0.6,0.6,118.11,0.0
5,BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,418.27,7,7.8225,36.6268,54.7874,65.4332,116.2171,547.7816,,61.94,,,0.7,0.7,114.31,0.0
6,RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,2080.0,4,6.7001,16.6423,33.1244,41.9659,104.8662,716.3151,,53.43,4.9833,5.5685,2.0,2.0,105.01,0.0
7,HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,351.41,7,2.07,46.4792,45.5111,66.9928,99.7654,398.324,,49.61,1.9791,23.6372,2.0,2.0,98.29,
8,BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,1640.0,6,8.4445,17.9375,67.2495,71.4597,94.1952,,,45.44,3.8703,13.0068,1.0,0.0,92.98,
9,KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,444.21,6,18.2979,19.1114,34.5216,54.2306,93.0898,,,44.61,1.6821,16.3615,1.5,0.0,91.41,
